#param1 mean var
31 0.5875 0.1433
32 0.5875 0.1433
33 0.5903 0.1493
34 0.5904 0.1494
35 0.5924 0.1503
36 0.5924 0.1503
37 0.5979 0.1529
38 0.5979 0.1529
39 0.5999 0.1538
40 0.5999 0.1538
41 0.6039 0.1556
42 0.6039 0.1556
43 0.6047 0.1559
44 0.6046 0.1559
45 0.608 0.1573
46 0.608 0.1573
47 0.6084 0.1575
48 0.6084 0.1575
49 0.6137 0.1572
50 0.6137 0.1572
51 0.6145 0.1576
52 0.6145 0.1576
53 0.6161 0.1584
54 0.6161 0.1584
55 0.6164 0.1585
56 0.6164 0.1585
57 0.6178 0.1591
58 0.6178 0.1591
59 0.6181 0.1593
60 0.6181 0.1593
61 0.6187 0.1595
62 0.6187 0.1595
63 0.6193 0.1598
64 0.6193 0.1598
65 0.6203 0.1603
66 0.6203 0.1603
67 0.6207 0.1605
68 0.6207 0.1605
69 0.6217 0.161
70 0.6217 0.161
71 0.622 0.1611
72 0.622 0.1611
73 0.6254 0.1602
74 0.6254 0.1602
75 0.6256 0.1603
76 0.6256 0.1603
77 0.627 0.1609
78 0.627 0.1609
79 0.6271 0.161
80 0.6271 0.161
81 0.6253 0.1626
82 0.6253 0.1626
83 0.6246 0.1625
84 0.6246 0.1625
85 0.6314 0.1603
86 0.6314 0.1603
87 0.6313 0.1602
88 0.6313 0.1602
89 0.6312 0.1602
90 0.6312 0.1602
91 0.6285 0.1615
92 0.6285 0.1615
93 0.6269 0.1633
94 0.6269 0.1633
95 0.6269 0.1633
96 0.6269 0.1633
97 0.6268 0.1632
98 0.6268 0.1632
99 0.6267 0.1632
100 0.6267 0.1632
101 0.627 0.1633
102 0.627 0.1633
103 0.6272 0.1634
104 0.6272 0.1634
105 0.6279 0.1638
106 0.6279 0.1638
107 0.628 0.1639
108 0.628 0.1639
109 0.6279 0.1637
110 0.6279 0.1637
111 0.6279 0.1637
112 0.6279 0.1637
113 0.6282 0.1638
114 0.6282 0.1638
115 0.6285 0.164
116 0.6285 0.164
117 0.6287 0.1641
118 0.6287 0.1641
119 0.6289 0.1642
120 0.6289 0.1642
121 0.6299 0.1647
122 0.6299 0.1647
123 0.63 0.1648
124 0.63 0.1648
125 0.6304 0.165
126 0.6304 0.165
127 0.6306 0.1651
128 0.6306 0.1651
129 0.6338 0.164
130 0.6338 0.164
131 0.6345 0.1644
132 0.6345 0.1644
133 0.6347 0.1644
134 0.6347 0.1644
135 0.635 0.1645
136 0.635 0.1645
137 0.6353 0.1647
138 0.6353 0.1647
139 0.6354 0.1647
140 0.6354 0.1647
141 0.636 0.165
142 0.636 0.165
143 0.6362 0.1652
144 0.6362 0.1652
145 0.6367 0.1654
146 0.6367 0.1654
147 0.6366 0.1654
148 0.6366 0.1654
149 0.6369 0.1655
150 0.6369 0.1655
151 0.6368 0.1655
152 0.6368 0.1655
153 0.6369 0.1655
154 0.6369 0.1655
155 0.637 0.1656
156 0.637 0.1656
157 0.6372 0.1657
158 0.6372 0.1657
159 0.6373 0.1658
160 0.6373 0.1658
161 0.6376 0.1659
162 0.6376 0.1659
163 0.6376 0.1659
164 0.6376 0.1659
165 0.6378 0.166
166 0.6378 0.166
167 0.6378 0.166
168 0.6378 0.166
169 0.6378 0.166
170 0.6378 0.166
171 0.6378 0.166
172 0.6378 0.166
173 0.6381 0.1662
174 0.6381 0.1662
175 0.6381 0.1662
176 0.6381 0.1662
177 0.6382 0.1662
178 0.6382 0.1662
179 0.6383 0.1662
180 0.6383 0.1662
181 0.6374 0.1658
182 0.6374 0.1658
183 0.637 0.1656
184 0.637 0.1656
185 0.6372 0.1658
186 0.6372 0.1658
187 0.6375 0.1658
188 0.6375 0.1658
189 0.6375 0.1657
190 0.6375 0.1657
191 0.6372 0.1656
192 0.6372 0.1656
193 0.6369 0.1654
194 0.6369 0.1654
195 0.6362 0.1652
196 0.6362 0.1652
197 0.6363 0.1652
198 0.6363 0.1652
199 0.6362 0.1651
200 0.6362 0.1651
