#param2 mean vr
12.75 0.5 0.2
14.75 0.28 0.17
10.25 0.75 0.07
11.0 0.53 0.19
6.0 0.41 0.04
15.25 0.22 0.14
6.5 0.41 0.04
12.0 0.5 0.2
12.5 0.5 0.2
7.5 0.56 0.04
9.75 0.75 0.07
5.25 0.23 0.03
13.5 0.44 0.19
8.75 0.72 0.03
8.0 0.72 0.03
8.5 0.72 0.03
5.5 0.24 0.03
13.75 0.28 0.17
11.5 0.53 0.19
16.75 0.12 0.09
17.0 0.02 0.01
6.75 0.41 0.04
16.5 0.12 0.09
7.75 0.72 0.03
13.0 0.44 0.19
16.0 0.12 0.09
9.5 0.8 0.01
9.0 0.81 0.01
14.5 0.28 0.17
9.25 0.81 0.01
10.0 0.75 0.07
7.25 0.55 0.04
11.25 0.53 0.19
12.25 0.5 0.2
8.25 0.73 0.03
10.75 0.75 0.07
10.5 0.75 0.07
5.75 0.42 0.04
14.0 0.28 0.17
15.0 0.22 0.14
14.25 0.28 0.17
16.25 0.12 0.09
15.5 0.22 0.14
7.0 0.56 0.04
6.25 0.41 0.04
15.75 0.12 0.09
13.25 0.44 0.19
11.75 0.5 0.2
